departamento,codigo_departamento,municipio,codigo_municipio,poblacion,1/1/2021,1/2/2021
HUEHUETENANGO,13,SAN SEBASTIAN HUEHUETENANGO,1320,41035,0,0
PETEN,17,SAN ANDRES,1704,34823,0,0
SOLOLA,7,SANTA LUCIA UTATLAN,704,21695,0,0
SAN MARCOS,12,IXCHIGUAN,1223,24580,0,0
HUEHUETENANGO,13,SAN GASPAR IXCHIL,1329,10341,0,0
JUTIAPA,22,SAN JOSE ACATEMPA,2216,13786,0,0
CHIQUIMULA,20,OLOPA,2006,29283,0,0
CHIMALTENANGO,4,SANTA APOLONIA,405,23166,0,0
QUICHE,14,JOYABAJ,1412,104861,0,0
CHIMALTENANGO,4,SANTA CRUZ BALANYA,410,10646,0,0
SOLOLA,7,SANTA MARIA VISITACION,703,2563,0,0
HUEHUETENANGO,13,SAN SEBASTIAN COATAN,1325,25332,0,0
HUEHUETENANGO,13,SAN ANTONIO HUISTA,1324,18291,1,0
HUEHUETENANGO,13,MALACATANCITO,1303,21855,0,0
TOTONICAPAN,8,SAN BARTOLO,808,12374,0,0
CHIQUIMULA,20,SAN JACINTO,2010,13124,0,0
SANTA ROSA,6,CASILLAS,604,25859,0,0
SOLOLA,7,SAN MARCOS LA LAGUNA,716,2911,0,0
JALAPA,21,MONJAS,2106,28097,0,0
CHIQUIMULA,20,CONCEPCION LAS MINAS,2008,12509,0,0
HUEHUETENANGO,13,LA LIBERTAD,1311,46629,0,0
CHIQUIMULA,20,SAN JOSE LA ARADA,2002,9088,0,0
JUTIAPA,22,CONGUACO,2213,29121,0,0
CHIQUIMULA,20,SAN JUAN LA ERMITA,2003,18085,0,0
EL PROGRESO,2,SAN CRISTOBAL ACASAGUASTLAN,204,7851,0,0
GUATEMALA,1,SAN JOSE DEL GOLFO,104,8317,0,0
PETEN,17,SAN FRANCISCO,1706,16339,0,0
SUCHITEPEQUEZ,10,SAN MIGUEL PANAN,1011,12261,0,0
JALAPA,21,SAN MANUEL CHAPARRON,2104,8139,0,0
SUCHITEPEQUEZ,10,SAN JOSE LA MAQUINA,1021,25716,0,0
QUICHE,14,ZACUALPA,1404,39269,0,0
CHIMALTENANGO,4,SAN JOSE POAQUIL,402,32963,0,0
SANTA ROSA,6,SAN RAFAEL LAS FLORES,605,13620,0,0
CHIQUIMULA,20,CAMOTAN,2005,60848,0,0
HUEHUETENANGO,13,PETATAN,1333,6861,0,0
JUTIAPA,22,PASACO,2215,11057,0,0
SAN MARCOS,12,SIPACAPA,1226,26714,0,0
QUICHE,14,CHAJUL,1405,50814,0,0
SUCHITEPEQUEZ,10,SAN JUAN BAUTISTA,1016,9238,0,0
0,9999,0,0,0,0,0
QUICHE,14,PACHALUN,1421,9652,0,0
JALAPA,21,SAN CARLOS ALZATATE,2105,21416,0,0
JUTIAPA,22,EL ADELANTO,2209,8272,0,0
SOLOLA,7,SANTA CRUZ LA LAGUNA,714,7817,0,0
QUICHE,14,PATZITE,1407,7462,0,0
JUTIAPA,22,ZAPOTITLAN,2210,10340,0,0
QUICHE,14,SAN BARTOLOME JOCOTENANGO,1417,15586,0,0
QUETZALTENANGO,9,SAN MIGUEL SIGÜILA,908,9607,0,0
HUEHUETENANGO,10,SANTA BARBARA,1310,42667,0,0
SOLOLA,7,SAN PABLO LA LAGUNA,715,7950,0,0
ALTA VERAPAZ,16,TAMAHU,1605,23858,0,0
HUEHUETENANGO,5,LA DEMOCRACIA,1312,59788,0,0
SANTA ROSA,6,SAN JUAN TECUACO,607,12599,0,0
,,,,,7,14
